tv,hl,wa,seed,epochs,model_type,theta_index
0.08199999165534974,0.11405656464023126,0.04032887090995828,1,5000,Diffusion,0
0.05600003814697263,0.10037454052772489,0.031015334910655546,1,5000,Diffusion,1
0.05200003814697263,0.09078617983467763,0.03173655353178707,1,5000,Diffusion,2
0.07600003337860106,0.10568593523278577,0.033075862324312075,1,5000,Diffusion,3
0.03900003099441529,0.06471491622315582,0.025905181465854035,1,5000,Diffusion,4
0.06999999284744263,0.08930174078231301,0.023339181974010963,1,5000,Diffusion,5
0.04499999642372132,0.08157277006984878,0.03128960592481567,1,5000,Diffusion,6
0.030000019073486373,0.06319998883333038,0.018786882903738592,1,5000,Diffusion,7
0.0690000023841858,0.09271853374369735,0.039135697834677616,1,5000,Diffusion,8
0.05800004529953007,0.09290022127560872,0.027607699378931226,1,5000,Diffusion,9
0.04600000000000001,0.08697606979511358,0.023236834905798528,1,5000,Diffusion,10
0.04600001668930054,0.07912268769360713,0.02195055564199179,1,5000,Diffusion,11
0.04199998569488528,0.07700853125938625,0.03930841438446847,1,5000,Diffusion,12
0.037000001788139336,0.07473342061549512,0.02209861291074538,1,5000,Diffusion,13
